"Id","SalePrice"
1461,118016.580059518
1462,173829.917979971
1463,189130.259193966
1464,202271.420054704
1465,188040.934680947
1466,172835.033651529
1467,183387.747021433
1468,165625.329872597
1469,195397.257454403
1470,126420.368731038
1471,189136.180100239
1472,100836.785205012
1473,101210.685655863
1474,142208.33575726
1475,110804.964670427
1476,360926.521497513
1477,254377.565644896
1478,283852.014063103
1479,287757.513309629
1480,466728.832028953
1481,328833.934063199
1482,205923.554708186
1483,181318.215619861
1484,165237.385976721
1485,182345.838820606
1486,194704.018777506
1487,321904.481898576
1488,240920.640191242
1489,202547.417196069
1490,249342.454464795
1491,195530.410244289
1492,88820.2642387457
1493,195408.746817036
1494,282767.742814667
1495,280188.037535927
1496,245536.608942907
1497,181927.45378228
1498,168030.560972028
1499,163622.180101421
1500,158767.054287391
1501,191243.078405195
1502,151152.842322104
1503,284182.861469344
1504,238817.651400096
1505,228415.335319115
1506,195150.648524878
1507,259408.601027622
1508,207259.314054859
1509,162082.058423971
1510,144578.210976013
1511,147788.045278625
1512,171867.488565841
1513,151322.730155701
1514,164760.673713961
1515,204511.626053233
1516,155470.517301722
1517,174902.649907928
1518,119264.408066208
1519,228526.76628215
1520,127012.167866472
1521,134217.265878008
1522,173392.177851989
1523,119824.687023674
1524,127314.428971873
1525,125881.96910332
1526,109127.553009383
1527,110479.554567132
1528,137828.603304735
1529,149115.6795926
1530,194108.128996352
1531,116173.082755147
1532,90916.863756375
1533,150263.385540049
1534,121237.198943748
1535,150352.121122242
1536,111639.171127754
1537,49694.8358405234
1538,170536.223811136
1539,200418.784898998
1540,98851.9500875204
1541,139757.517967422
1542,140901.124212376
1543,196555.562493385
1544,85106.8652707079
1545,120354.859537907
1546,132790.728733984
1547,126865.337492559
1548,136380.176305591
1549,117158.103042741
1550,132961.100850379
1551,107631.828809622
1552,149039.754330158
1553,137094.112777606
1554,119793.335080917
1555,156047.297890571
1556,91788.6181743724
1557,94722.8939288192
1558,104510.359791062
1559,76173.4862444674
1560,121522.410612531
1561,131619.606439266
1562,125341.843471484
1563,124345.539183249
1564,159465.869739297
1565,147441.106091658
1566,248414.383985443
1567,77592.0556066995
1568,233676.850383593
1569,138486.039794573
1570,132472.066061444
1571,107633.098288488
1572,142563.568022194
1573,255176.280996121
1574,126773.878308875
1575,230946.164538231
1576,254533.945513172
1577,182298.391347414
1578,153104.262086796
1579,144071.493298035
1580,193006.980467067
